location,Latitude and longitude
柏の葉アクアテラス,"35.8986869739477, 139.95321731169324"
KOIL by Mitsuifudosan,"35.89523479925626, 139.95188921115633"
かけだし横丁,"35.89457169213202, 139.95281669581382"
